country,revenue,profit,orders
United Kingdom,7722626.39,2743903.48,16451
Netherlands,270142.86,95577.1,89
EIRE,261481.04,94887.25,265
Germany,192290.75,68001.09,414
France,176052.43,62517.55,362
Australia,137138.46,49229.2,53
Spain,54021.38,19659.85,84
Switzerland,51862.98,18500.72,48
Belgium,35327.43,12489.9,93
Sweden,33005.03,12336.0,32
Norway,28667.52,10253.01,30
Japan,26059.7,9077.43,15
Portugal,24967.19,8999.33,44
Channel Islands,19693.91,6926.7300000000005,24
Finland,17692.079999999998,6333.74,39
Denmark,17073.84,6138.12,17
Italy,15169.74,5283.21,33
Cyprus,11663.87,4036.5099999999998,13
Hong Kong,9952.99,3504.7,7
Singapore,9120.39,3278.08,4
