hour,orders,revenue,avg_order_value
6,1,4.25,4.25
7,27,30002.21,82.19783561643835
8,539,273219.44,32.02290670417253
9,1365,727438.8099999999,23.61584293737623
10,2159,1235514.98,27.949033615346334
11,2185,1116688.4,21.943179406563175
12,2973,1319622.37,18.35153765923124
13,2514,1129956.24,17.276297530769817
14,2249,1025254.99,17.557840665833233
15,2079,1074263.06,15.362636177728204
16,1199,632999.38,12.734868627529876
17,600,411875.21,16.15577037734369
18,173,126017.34999999999,18.18432178932179
19,132,45854.67,14.640699233716475
20,17,18630.67,25.313410326086956
