month,revenue,profit,orders,year
1,0.0,0.0,0,2009
2,0.0,0.0,0,2009
3,0.0,0.0,0,2009
4,0.0,0.0,0,2009
5,0.0,0.0,0,2009
6,0.0,0.0,0,2009
7,0.0,0.0,0,2009
8,0.0,0.0,0,2009
9,0.0,0.0,0,2009
10,0.0,0.0,0,2009
11,0.0,0.0,0,2009
12,796093.84,282196.6,1669,2009
1,611190.75,213636.07,1088,2010
2,522917.5,185070.31,1188,2010
3,747034.13,264492.71,1644,2010
4,649126.95,228037.57,1436,2010
5,635471.97,221856.05,1482,2010
6,691072.55,242422.96,1615,2010
7,634978.73,221111.59,1507,2010
8,668025.17,235957.55,1402,2010
9,858322.26,309315.64,1788,2010
10,1089567.3699999999,394566.3,2242,2010
11,1413383.82,512295.01,2716,2010
12,1183942.12,424595.2,1550,2010
1,588269.41,208060.5,1080,2011
2,502789.18,177851.76,1090,2011
3,690600.92,243663.97,1440,2011
4,509763.81,180893.03,1235,2011
5,737009.55,257312.58,1667,2011
6,699257.38,243946.52,1523,2011
7,689132.03,242417.72,1451,2011
8,721409.42,254221.28,1339,2011
9,1030493.78,369885.66,1818,2011
10,1100683.2,395242.65,2004,2011
11,1450904.64,525210.68,2749,2011
12,447028.71,161157.32,815,2011
