product_name,category,revenue,profit,orders,avg_discount,total_qty,margin_pct,rank
Regency Cakestand 3 Tier,Kitchen & Dining,146614.78,55712.12,1816,3.0,11786,38.0,1
Party Bunting,Home Decor,98296.59,34402.83,1637,3.0,18058,35.0,2
White Hanging Heart T-Light Holder,Home Decor,95058.55,33266.66,2028,3.0,34021,35.0,3
Jumbo Bag Red Retrospot,Storage & Organization,90320.9,27096.44,1970,3.0,46323,30.0,4
Rabbit Night Light,Home Decor,58321.39,20413.83,992,4.0,26348,35.0,5
Paper Chain Kit 50'S Christmas,Seasonal & Christmas,55726.49,23404.81,997,3.0,16895,42.0,6
Assorted Colour Bird Ornament,Home Decor,50933.06,17824.850000000002,1353,4.0,31210,35.0,7
Chilli Lights,Home Decor,46611.32,16313.68,581,3.0,8716,35.0,8
Spotty Bunting,Home Decor,42548.13,14892.58,1140,4.0,8327,35.0,9
Jumbo Bag Pink Polkadot,Storage & Organization,41432.03,12429.75,1162,3.0,20971,30.0,10
Doormat Keep Calm And Come In,Garden & Outdoor,38166.64,10686.35,728,4.0,5491,28.0,11
Set Of 3 Cake Tins Pantry Design,Kitchen & Dining,36750.72,13963.41,1324,3.0,7239,38.0,12
Jam Making Set With Jars,Kitchen & Dining,34404.6,13074.01,1027,3.0,8106,38.0,13
Black Record Cover Frame,Home Decor,34357.590000000004,12025.02,348,3.0,9812,35.0,14
Lunch Bag Red Retrospot,Kitchen & Dining,34304.62,13035.82,1479,3.0,18621,38.0,15
Popcorn Holder,Storage & Organization,34298.87,10289.61,803,3.0,36761,30.0,16
Jumbo Bag Strawberry,Storage & Organization,31831.37,9549.45,773,3.0,16846,30.0,17
Victorian Glass Hanging T-Light,Kitchen & Dining,31386.34,11926.74,968,3.0,22949,38.0,18
Set Of 3 Regency Cake Tins,Kitchen & Dining,31177.95,11845.6,873,3.0,6357,38.0,19
Jumbo Bag Apples,Storage & Organization,30475.65,9142.91,978,3.0,14920,30.0,20
Jumbo Storage Bag Suki,Storage & Organization,29186.69,8755.89,1115,3.0,13069,30.0,21
Wood Black Board Ant White Finish,General Merchandise,29182.15,9338.51,626,3.0,4673,32.0,22
Hot Water Bottle Keep Calm,Kitchen & Dining,28842.55,10959.01,782,3.0,5841,38.0,23
Heart Of Wicker Small,Home Decor,28714.35,10049.42,1060,3.0,16172,35.0,24
